timestamp_pixel,FHR_BPM,TOCO_PERCENT
667,120.9,5.6
668,123.9,5.9
669,127.1,6.8
670,128.6,6.0
671,127.8,6.8
672,121.5,6.8
673,120.7,6.2
674,121.9,5.9
675,123.4,4.4
676,122.9,4.4
677,124.3,5.0
678,126.4,6.1
679,126.5,7.1
680,126.8,8.5
681,126.4,8.5
682,126.1,7.6
683,128.5,8.1
684,128.6,9.4
685,129.0,8.5
686,126.7,7.4
687,128.1,7.6
688,130.9,7.2
689,130.9,6.2
690,130.1,6.5
691,130.1,6.6
692,130.1,7.3
693,131.6,7.6
694,129.6,8.7
695,128.8,9.1
696,125.0,10.1
697,123.0,11.5
698,119.5,9.4
699,119.6,8.5
700,119.7,8.2
701,118.4,7.4
702,119.5,7.1
703,119.1,7.9
704,119.3,8.5
705,122.4,8.5
706,120.8,8.5
707,122.8,8.5
708,121.6,9.4
709,123.4,9.7
710,124.2,8.5
711,124.2,8.2
712,124.4,7.4
713,124.7,7.2
714,125.0,5.6
715,127.3,4.0
716,127.4,4.0
717,128.3,3.2
718,126.1,3.2
719,128.3,3.2
720,129.2,4.4
721,127.1,3.8
722,126.9,2.6
723,128.2,2.6
724,126.4,2.4
725,124.1,3.2
726,131.6,3.8
727,130.5,3.8
728,128.2,3.5
729,127.6,3.8
730,128.7,3.3
731,132.1,3.7
732,133.1,3.5
733,133.8,4.3
734,134.2,4.7
735,135.5,5.0
736,134.1,5.6
737,135.5,7.1
738,134.4,6.5
739,134.2,6.4
740,134.6,6.0
741,133.9,5.6
742,137.6,5.1
743,139.9,3.9
744,136.4,4.4
745,134.6,5.9
746,134.3,5.3
747,134.8,6.1
748,136.0,5.6
749,135.3,5.0
750,133.9,4.6
751,136.6,5.9
752,135.9,6.8
753,135.3,6.8
754,135.0,5.0
755,137.3,4.4
756,137.2,5.8
757,137.4,5.9
758,138.9,7.1
759,139.1,7.1
760,137.7,6.5
761,138.7,5.3
762,139.9,5.3
763,142.0,5.9
764,141.9,6.8
765,144.4,7.4
766,145.1,7.4
767,145.3,5.9
768,143.5,5.9
769,144.7,6.5
770,143.6,6.6
771,144.5,6.2
772,142.3,6.2
773,143.2,6.5
774,143.1,6.2
775,141.4,6.4
776,141.5,6.1
777,143.2,7.5
778,143.9,6.8
779,143.7,6.8
780,143.2,7.9
781,143.6,7.9
782,143.1,8.0
783,143.6,7.7
784,143.2,8.1
785,145.5,7.2
786,144.4,7.8
787,142.0,7.4
788,140.2,6.8
789,143.1,7.5
790,143.2,6.2
791,142.9,7.3
792,142.9,6.8
793,143.9,7.6
794,144.4,7.6
795,144.4,8.1
796,145.8,8.1
797,145.1,7.3
798,145.1,7.0
799,145.1,7.5
800,144.4,7.1
801,144.4,7.9
802,142.5,7.3
803,140.2,8.3
804,142.1,7.8
805,142.5,8.0
806,142.9,6.9
807,142.9,8.1
808,142.9,8.1
809,145.5,7.4
810,145.1,7.6
811,144.0,7.8
812,144.0,6.9
813,145.5,7.4
814,145.9,7.2
815,146.1,6.8
816,146.5,7.1
817,146.2,7.4
